State,Suicide rate,Female proportion,Male proportion,Female Suicide rate,Male Suicide rate,Age 5-14,Age 15-24,Age 25-34,Age 35-44,Age 45-54,Age 55-64,Age 65-74,Age 75-84,Age >85,Alcohol consumption,Marijuana usage,Advanced degree,Bachelors degree,College,Below college degree,GDP,Guns number per capita(average),Guns number registered(average),Precipitation,Temperature
Georgia,13.903032961022895,0.513345233690328,0.4866547663096719,6.4439344085925105,21.771224037322774,0.0823538323416645,0.1647609060910684,0.16604532648979398,0.15623565423978697,0.1621333397923768,0.1443644198411761,0.09949962216880817,0.01920723772379957,0.005399661311525531,1.92,0.1178,0.11376692492454987,0.18554336488579176,0.2828615503301102,0.4178281598595482,"43,913",18.22,"190,050",50,63.47
Hawaii,15.901503147376813,0.49837622536142645,0.5016237746385735,8.15235342982159,23.600484298695548,0,0.12699823605893054,0.2851014611173835,0.12567597037462355,0.24156469026133381,0.1239755201417778,0.0966841220459508,0,0,2.65,0.1329,0.10794558680104031,0.2124278689856957,0.31833956436931077,0.3612869798439532,"50,320",5.5,"7,859",110,71.9725
Idaho,22.831276285817292,0.49884300177699553,0.5011569982230045,8.406451951873063,37.18949675637858,0,0.11172321877897577,0.20804399801651308,0.19596887621456313,0.18376010868623485,0.19516608016162837,0.07247930334630465,0.03285841479578011,0,2.92,0.127,0.08526883648279895,0.18239052747877854,0.36052784486812794,0.37181279117029453,"35,467",28.86,"49,566",19,46.567
Illinois,11.498182748148476,0.5084778397914143,0.4915221602085858,4.977306401599497,18.24400498499955,0.07459710667586698,0.1539251042629553,0.1605780608753893,0.14820022537868102,0.15215484007227162,0.15064315379708107,0.10098905148557533,0.050857755384568645,0.00805470206761071,2.38,0.1388,0.1295000887944825,0.2049745911617007,0.28785186472451957,0.37767345531929725,"53,432",11.44,"146,487",38,51.59037037037037
Indiana,16.379628182440257,0.5069469423044097,0.4930530576955903,5.799291835455154,27.258110885143264,0,0.1943658369540297,0.18124600631646098,0.1703925747891888,0.1782527907020893,0.18162214011578579,0.05862242404152117,0.026424077403037066,0.009074149677887193,2.11,0.1454,0.09188042159072159,0.1613111120825019,0.2923657914918831,0.4544426748348934,"44,797",17.1,"114,019",40,51.42777777777778
Iowa,15.195292892449434,0.5025820871656678,0.49741791283433223,5.882434796689138,24.60483673572424,0,0.10482900621508057,0.18135209973831481,0.1710134949617923,0.17458467961326146,0.19139780411793206,0.1336207943697118,0.031009855479552206,0.012192265504354774,2.4,0.1151,0.08968554785160311,0.18712722095793152,0.32646135187440095,0.3967258793160644,"50,086",9.05,"28,494",32,47.89
Kansas,18.948736459119647,0.501580949379755,0.498419050620245,8.144175169573362,29.821840331249707,0,0.20061713644633872,0.18526982582212045,0.16981245018713464,0.16681366138499437,0.18037338106679063,0.058919055391182154,0.027282123173367357,0.010912366528071647,1.97,0.1195,0.11731286912194096,0.20617933251039755,0.3192451958164899,0.3572626025511716,"46,890",18.06,"52,634",27,55.12833333333333
Kentucky,17.197294501872282,0.507358578632384,0.49264142136761596,6.593296697023857,28.11807586685248,0,0.17145366766675646,0.16864788169835682,0.15972022255868173,0.1707070836081258,0.1725848644305526,0.12348041697242167,0.02573276702861867,0.007673096036486248,1.97,0.1295,0.0956573892094934,0.1362655335428081,0.28914717337993884,0.47892990386775963,"38,603",18.2,"81,068",47,56.23947368421052
Louisiana,15.370384641740884,0.511254643937568,0.48874535606243197,6.639144143335364,24.50374457401485,0,0.17376555393484988,0.1906934647030784,0.16228977936986627,0.16246541037193651,0.17007337504148792,0.11683080870781876,0.023881607870962277,0,2.56,0.12480000000000001,0.08070259751642024,0.153267601725576,0.2705330961243103,0.4954967046336935,"44,293",24.94,"116,831",57,66.59791666666666
Maine,20.510409781519222,0.5100557149562058,0.4899442850437942,8.512049686888655,33.00128338324268,0,0.10624926106934723,0.10576837496363464,0.09897220558013861,0.2473747205347666,0.2808693676879076,0.10125973561891503,0.04438233367916395,0.015124000866126357,2.84,0.22460000000000002,0.109454304817675,0.19335626572439926,0.2951941865764354,0.4019952428814903,"38,450",11.5,"15,371",41,43.928
