state,Y85_larger,R5_14,R15_24,R25_34,R35_44,R45_54,R55_64,R65_74,R75_84,R85_larger
Idaho,0,0,0.11172321877897577,0.20804399801651308,0.19596887621456313,0.18376010868623485,0.19516608016162837,0.07247930334630465,0.03285841479578011,0
Illinois,89089,0.07459710667586698,0.1539251042629553,0.1605780608753893,0.14820022537868102,0.15215484007227162,0.15064315379708107,0.10098905148557533,0.050857755384568645,0.00805470206761071
Indiana,43497,0,0.1943658369540297,0.18124600631646098,0.1703925747891888,0.1782527907020893,0.18162214011578579,0.05862242404152117,0.026424077403037066,0.009074149677887193
Iowa,26599,0,0.10482900621508057,0.18135209973831481,0.1710134949617923,0.17458467961326146,0.19139780411793206,0.1336207943697118,0.031009855479552206,0.012192265504354774
Kansas,22605,0,0.20061713644633872,0.18526982582212045,0.16981245018713464,0.16681366138499437,0.18037338106679063,0.058919055391182154,0.027282123173367357,0.010912366528071647
Kentucky,26434,0,0.17145366766675646,0.16864788169835682,0.15972022255868173,0.1707070836081258,0.1725848644305526,0.12348041697242167,0.02573276702861867,0.007673096036486248
Louisiana,0,0,0.17376555393484988,0.1906934647030784,0.16228977936986627,0.16246541037193651,0.17007337504148792,0.11683080870781876,0.023881607870962277,0
Maine,11385,0,0.10624926106934723,0.10576837496363464,0.09897220558013861,0.2473747205347666,0.2808693676879076,0.10125973561891503,0.04438233367916395,0.015124000866126357
Maryland,39681,0,0.1587513883022823,0.1724660447401765,0.15836525708188534,0.1737131497851579,0.16630955703586245,0.10982407565208013,0.05240311111440434,0.008167416288151041
Massachusetts,53311,0,0.17408998297099934,0.17864144378925714,0.15233306847037606,0.17332969421901745,0.17084981389892212,0.11678750580534114,0.02419002193006591,0.009778468916020834
Michigan,73927,0.07148097601361622,0.15754514483399693,0.1465830329529799,0.13350031739754342,0.15274953129576738,0.16172837053552866,0.11310094165891268,0.05477302148601187,0.00853866382564295
Minnesota,42174,0,0.16859023621340544,0.17697190419828987,0.1623144444880734,0.16633991694293146,0.1750677339556069,0.11525173284867794,0.025606847627114526,0.009857183725900455
Mississippi,16592,0,0.12230616744426384,0.22800299839305596,0.21091574955771386,0.21715873293563304,0.10550161099905113,0.07345889200803124,0.03304430739785131,0.009611541264399644
Missouri,44604,0,0.16544282271236976,0.1681446473760346,0.15067414519716354,0.1581118444797769,0.16883946081493914,0.11866971084535771,0.060980735723857545,0.00913663285050081
Montana,8436,0,0.17908502405547094,0.17758698242595938,0.16150309209470676,0.16143996127976684,0.20013652038730756,0.07575566270257758,0.03339751632852224,0.011095240725688718
Nebraska,0,0,0.24470053728448002,0.12016886083657399,0.2139229059670118,0.2052537926231406,0.10917431025398405,0.07284881102791436,0.03393078200689518,0
Nevada,16964,0,0.15134406196607433,0.1832835609681991,0.16526561794385677,0.16492557037049368,0.15433789574232967,0.119175228554007,0.054607394890129675,0.007060669564909754
New Hampshire,0,0,0.11205583169503536,0.10550305642035747,0.19001173575430655,0.2450522984706025,0.2615660920438085,0.08581098561588964,0,0
New Jersey,68231,0,0.16244434655875625,0.16726355035961565,0.16478131975426502,0.18271196869638545,0.17379542043521806,0.11461252407388046,0.02464548336581272,0.00974538675606639
New Mexico,15307,0,0.17637541563258796,0.17584712330168362,0.1534074855343331,0.153220992728028,0.17133013031418737,0.13147805216684058,0.028793491338687777,0.00954730898365163
New York,154013,0.06733647693180836,0.14976366262904717,0.17006718736726706,0.1427883993723149,0.15387017174943393,0.1505689706319974,0.1033603875206734,0.053326364459112076,0.008918379338345696
North Carolina,60903,0.0738907276740256,0.15415830084280813,0.15380024657480124,0.14486920580645046,0.15551329492537205,0.14834873004100002,0.11016409436290135,0.052419481564358175,0.006835918208282974
